"date","sunrise","sunset"
"2014-10-12","07:23:58","18:26:42"
"2014-10-13","07:25:24","18:24:48"
"2014-10-14","07:26:50","18:22:53"
"2014-10-15","07:28:17","18:21:00"
"2014-10-16","07:29:44","18:19:07"
"2014-10-17","07:31:11","18:17:16"
"2014-10-18","07:32:38","18:15:25"
"2014-10-19","07:34:06","18:13:35"
"2014-10-20","07:35:34","18:11:46"
"2014-10-21","07:37:03","18:09:59"
"2014-10-22","07:38:31","18:08:12"
"2014-10-23","07:40:00","18:06:26"
"2014-10-24","07:41:29","18:04:42"
"2014-10-25","07:42:59","18:02:58"
"2014-10-26","07:44:29","18:01:16"
"2014-10-27","07:45:59","17:59:36"
"2014-10-28","07:47:29","17:57:56"
"2014-10-29","07:48:59","17:56:18"
"2014-10-30","07:50:30","17:54:41"
"2014-10-31","07:52:00","17:53:06"
"2014-11-01","07:53:31","17:51:32"
"2014-11-02","06:55:02","16:50:00"
"2014-11-02","05:55:02","15:50:00"
"2014-11-03","06:56:33","16:48:30"
"2014-11-04","06:58:04","16:47:01"
"2014-11-05","06:59:35","16:45:33"
"2014-11-06","07:01:06","16:44:08"
"2014-11-07","07:02:38","16:42:44"
"2014-11-08","07:04:08","16:41:22"
"2014-11-09","07:05:39","16:40:01"
"2014-11-10","07:07:10","16:38:43"
"2014-11-11","07:08:41","16:37:27"
"2014-11-12","07:10:11","16:36:12"
"2014-11-13","07:11:41","16:35:00"
"2014-11-14","07:13:10","16:33:49"
"2014-11-15","07:14:40","16:32:41"
"2014-11-16","07:16:08","16:31:35"
"2014-11-17","07:17:37","16:30:31"
"2014-11-18","07:19:04","16:29:30"
"2014-11-19","07:20:31","16:28:30"
"2014-11-20","07:21:58","16:27:33"
"2014-11-21","07:23:23","16:26:39"
"2014-11-22","07:24:48","16:25:47"
"2014-11-23","07:26:12","16:24:57"
"2014-11-24","07:27:35","16:24:10"
"2014-11-25","07:28:57","16:23:25"
"2014-11-26","07:30:18","16:22:43"
"2014-11-27","07:31:38","16:22:03"
"2014-11-28","07:32:56","16:21:27"
"2014-11-29","07:34:13","16:20:52"
"2014-11-30","07:35:29","16:20:21"
"2014-12-01","07:36:44","16:19:52"
"2014-12-02","07:37:57","16:19:26"
"2014-12-03","07:39:08","16:19:03"
"2014-12-04","07:40:18","16:18:43"
"2014-12-05","07:41:26","16:18:25"
"2014-12-06","07:42:32","16:18:11"
"2014-12-07","07:43:36","16:17:59"
"2014-12-08","07:44:39","16:17:50"
