"Date","Mean_Temperature_F","Max_Wind_Speed_MPH","Mean_Wind_Speed_MPH","Precipitation_In","Events","sunrise","sunset"
23552580,62,13,4,0,"Rain","07:23:58","18:26:42"
23554020,59,10,5,0.11,"Rain","07:25:24","18:24:48"
23555460,58,18,7,0.45,"Rain","07:26:50","18:22:53"
23556900,61,9,4,0,"Rain","07:28:17","18:21:00"
23558340,60,8,3,0.14,"Rain","07:29:44","18:19:07"
23559780,64,10,4,0.31,"Rain","07:31:11","18:17:16"
23561220,64,10,3,0,"","07:32:38","18:15:25"
23562660,60,12,5,0.44,"Rain","07:34:06","18:13:35"
23564100,58,15,8,0.1,"Rain","07:35:34","18:11:46"
23565540,58,14,8,1.43,"Rain","07:37:03","18:09:59"
23566980,55,15,9,0.35,"Rain","07:38:31","18:08:12"
23568420,56,8,4,0.13,"Rain","07:40:00","18:06:26"
23569860,58,24,6,0.37,"Rain","07:41:29","18:04:42"
23571300,52,20,12,0.05,"Rain","07:42:59","18:02:58"
23572740,54,7,4,0.01,"Rain","07:44:29","18:01:16"
23574180,56,14,5,0.34,"Rain","07:45:59","17:59:36"
23575620,59,15,7,0.04,"Rain","07:47:29","17:57:56"
23577060,58,8,2,0.67,"Rain","07:48:59","17:56:18"
23578500,54,8,4,0.77,"Rain","07:50:30","17:54:41"
23579940,52,6,1,0,"","07:52:00","17:53:06"
23581380,51,9,5,0.11,"Rain","07:53:31","17:51:32"
23582880,58,13,8,0.24,"Rain","06:55:02","16:50:00"
23584320,58,10,6,0.05,"Rain","05:55:02","15:50:00"
23585760,57,7,2,0.27,"Rain","06:56:33","16:48:30"
23587200,60,20,8,0.22,"Rain","06:58:04","16:47:01"
23588640,52,7,3,0,"","06:59:35","16:45:33"
23590080,48,7,1,0,"","07:01:06","16:44:08"
23591520,52,12,6,0.29,"Rain","07:02:38","16:42:44"
23592960,48,8,2,0,"","07:04:08","16:41:22"
23594400,42,15,5,0,"","07:05:39","16:40:01"
23595840,39,13,8,0,"","07:07:10","16:38:43"
23597280,40,12,4,0,"","07:08:41","16:37:27"
23598720,38,8,2,0,"","07:10:11","16:36:12"
23600160,38,7,1,0,"","07:11:41","16:35:00"
23601600,39,8,1,0,"","07:13:10","16:33:49"
23603040,41,8,1,0,"","07:14:40","16:32:41"
23604480,39,6,1,0,"","07:16:08","16:31:35"
23605920,44,9,2,0,"Rain","07:17:37","16:30:31"
23607360,49,8,4,0.11,"Rain","07:19:04","16:29:30"
23608800,52,18,7,0.67,"Rain","07:20:31","16:28:30"
23610240,48,13,8,0.03,"Rain","07:21:58","16:27:33"
23611680,50,20,10,0.42,"Rain","07:23:23","16:26:39"
23613120,47,13,6,0.01,"Rain","07:24:48","16:25:47"
23614560,56,17,6,0.33,"Rain","07:26:12","16:24:57"
23616000,59,20,11,0.01,"Rain","07:27:35","16:24:10"
23617440,58,18,12,0.04,"Rain","07:28:57","16:23:25"
23618880,48,15,9,1.39,"Rain","07:30:18","16:22:43"
23620320,35,17,6,0.06,"Rain , Snow","07:31:38","16:22:03"
23621760,33,8,2,0,"","07:32:56","16:21:27"
23623200,34,9,1,0,"","07:34:13","16:20:52"
23624640,35,8,3,0,"","07:35:29","16:20:21"
23626080,40,6,1,0,"","07:36:44","16:19:52"
23627520,44,7,2,0.05,"Rain","07:37:57","16:19:26"
23628960,50,8,2,0.09,"Rain","07:39:08","16:19:03"
23630400,52,14,7,0.25,"Rain","07:40:18","16:18:43"
23631840,49,5,0,0,"Fog","07:41:26","16:18:25"
23633280,55,9,3,0.45,"Rain","07:42:32","16:18:11"
23634720,57,17,8,0.42,"Rain","07:43:36","16:17:59"
23636160,61,22,10,0.5,"Rain","07:44:39","16:17:50"
