"","Date","Mean_Temperature_F","Max_Wind_Speed_MPH","Mean_Wind_Speed_MPH","Precipitation_In","Events"
"1",23552580,62,13,4,0,"Rain"
"2",23554020,59,10,5,0.11,"Rain"
"3",23555460,58,18,7,0.45,"Rain"
"4",23556900,61,9,4,0,"Rain"
"5",23558340,60,8,3,0.14,"Rain"
"6",23559780,64,10,4,0.31,"Rain"
"7",23561220,64,10,3,0,""
"8",23562660,60,12,5,0.44,"Rain"
"9",23564100,58,15,8,0.1,"Rain"
"10",23565540,58,14,8,1.43,"Rain"
"11",23566980,55,15,9,0.35,"Rain"
"12",23568420,56,8,4,0.13,"Rain"
"13",23569860,58,24,6,0.37,"Rain"
"14",23571300,52,20,12,0.05,"Rain"
"15",23572740,54,7,4,0.01,"Rain"
"16",23574180,56,14,5,0.34,"Rain"
"17",23575620,59,15,7,0.04,"Rain"
"18",23577060,58,8,2,0.67,"Rain"
"19",23578500,54,8,4,0.77,"Rain"
"20",23579940,52,6,1,0,""
"21",23581380,51,9,5,0.11,"Rain"
"22",23582880,58,13,8,0.24,"Rain"
"23",23584320,58,10,6,0.05,"Rain"
"24",23585760,57,7,2,0.27,"Rain"
"25",23587200,60,20,8,0.22,"Rain"
"26",23588640,52,7,3,0,""
"27",23590080,48,7,1,0,""
"28",23591520,52,12,6,0.29,"Rain"
"29",23592960,48,8,2,0,""
"30",23594400,42,15,5,0,""
"31",23595840,39,13,8,0,""
"32",23597280,40,12,4,0,""
"33",23598720,38,8,2,0,""
"34",23600160,38,7,1,0,""
"35",23601600,39,8,1,0,""
"36",23603040,41,8,1,0,""
"37",23604480,39,6,1,0,""
"38",23605920,44,9,2,0,"Rain"
"39",23607360,49,8,4,0.11,"Rain"
"40",23608800,52,18,7,0.67,"Rain"
"41",23610240,48,13,8,0.03,"Rain"
"42",23611680,50,20,10,0.42,"Rain"
"43",23613120,47,13,6,0.01,"Rain"
"44",23614560,56,17,6,0.33,"Rain"
"45",23616000,59,20,11,0.01,"Rain"
"46",23617440,58,18,12,0.04,"Rain"
"47",23618880,48,15,9,1.39,"Rain"
"48",23620320,35,17,6,0.06,"Rain , Snow"
"49",23621760,33,8,2,0,""
"50",23623200,34,9,1,0,""
"51",23624640,35,8,3,0,""
"52",23626080,40,6,1,0,""
"53",23627520,44,7,2,0.05,"Rain"
"54",23628960,50,8,2,0.09,"Rain"
"55",23630400,52,14,7,0.25,"Rain"
"56",23631840,49,5,0,0,"Fog"
"57",23633280,55,9,3,0.45,"Rain"
"58",23634720,57,17,8,0.42,"Rain"
"59",23636160,61,22,10,0.5,"Rain"
"60",23637600,55,26,8,0.33,"Rain"
"61",23639040,52,18,10,0,""
"62",23640480,46,8,3,0.01,""
"63",23641920,47,15,2,0,"Fog"
"64",23643360,48,16,6,0,""
"65",23644800,48,8,5,0,"Rain"
"66",23646240,48,6,1,0.16,"Rain"
"67",23647680,48,10,4,0.6,"Rain"
"68",23649120,50,12,8,0.13,"Rain"
"69",23650560,52,17,7,0.6,"Rain"
"70",23652000,55,14,7,0,""
"71",23653440,48,8,1,0,""
"72",23654880,48,14,5,0.61,"Rain"
"73",23656320,44,8,5,0.12,"Rain"
"74",23657760,42,7,3,0,""
"75",23659200,42,8,4,0,""
"76",23660640,47,15,8,0.12,"Rain"
"77",23662080,44,8,5,0.06,"Rain"
"78",23663520,42,9,3,0,""
"79",23664960,34,6,1,0,""
"80",23666400,34,7,2,0,""
"81",23667840,35,4,0,0,""
"82",23669280,38,12,4,0.03,""
"83",23670720,38,7,2,0,"Rain"
"84",23672160,48,21,7,0.22,"Rain"
"85",23673600,56,20,14,0.07,"Rain"
"86",23675040,50,6,2,0.01,"Fog"
"87",23676480,47,6,2,0,""
"88",23677920,44,8,3,0,"Fog"
"89",23679360,44,6,2,0.01,"Fog , Rain"
"90",23680800,46,7,1,0.18,"Rain"
"91",23682240,48,5,1,0.06,"Fog , Rain"
"92",23683680,49,10,1,0,"Rain"
"93",23685120,44,10,2,0,""
"94",23686560,42,10,3,0,""
"95",23688000,41,16,3,0.43,"Rain"
"96",23689440,50,13,8,0,""
"97",23690880,46,17,1,0.76,"Rain"
"98",23692320,54,22,14,0.23,"Rain"
"99",23693760,49,10,5,0.03,"Rain"
"100",23695200,46,9,1,0,""
"101",23696640,40,5,1,0,"Fog"
"102",23698080,48,8,1,0.03,"Rain"
"103",23699520,54,13,6,0.08,"Rain"
"104",23700960,58,10,7,0.02,""
"105",23702400,57,8,3,0.01,""
"106",23703840,55,13,4,0,"Fog"
"107",23705280,52,10,6,0.02,"Rain"
"108",23706720,50,6,2,0,""
"109",23708160,48,8,1,0,""
"110",23709600,44,8,1,0,"Fog"
"111",23711040,42,6,1,0,"Fog"
"112",23712480,48,10,5,0.04,"Rain"
"113",23713920,50,20,5,0.3,"Rain"
"114",23715360,48,10,5,0.03,"Fog , Rain"
"115",23716800,47,7,2,0.3,"Fog , Rain"
"116",23718240,54,13,7,0.87,"Rain"
"117",23719680,56,16,10,0.75,"Rain"
"118",23721120,54,17,6,0.82,"Rain"
"119",23722560,54,10,5,0.15,"Rain"
"120",23724000,52,10,4,0.15,"Rain"
"121",23725440,52,17,9,0.02,"Rain"
"122",23726880,51,5,1,0,""
"123",23728320,62,9,4,0.02,"Rain"
"124",23729760,54,6,1,0,"Rain"
"125",23731200,54,8,2,0.05,"Rain"
"126",23732640,48,10,3,0,""
"127",23734080,53,9,4,0,""
"128",23735520,52,8,1,0,""
"129",23736960,48,12,5,0,""
"130",23738400,51,6,2,0.03,"Rain"
"131",23739840,52,6,0,0.02,"Rain"
"132",23741280,50,10,3,0,""
"133",23742720,45,6,1,0,""
"134",23744160,44,6,1,0,""
"135",23745600,45,7,3,0,""
"136",23747040,49,8,3,0.07,"Rain"
"137",23748480,51,7,2,0.22,"Rain"
"138",23749920,51,9,4,0.73,"Rain"
"139",23751360,47,12,5,0,""
"140",23752800,44,7,3,0,""
"141",23754240,49,12,6,0,""
"142",23755680,42,9,3,0,""
"143",23757120,44,10,2,0,""
"144",23758560,48,6,3,0,""
"145",23760000,49,6,1,0,""
"146",23761440,50,8,2,0,"Rain"
"147",23762880,50,9,1,0,""
"148",23764260,49,12,3,0,""
"149",23765700,50,9,4,0,"Fog , Rain"
"150",23767140,56,9,6,0.09,"Rain"
"151",23768580,60,12,8,0,""
"152",23770020,59,12,2,0.04,"Rain"
"153",23771460,58,15,7,0.54,"Rain"
"154",23772900,50,9,4,2.2,"Rain"
"155",23774340,52,12,4,0,""
"156",23775780,51,12,3,0.03,"Rain"
"157",23777220,54,7,4,0,""
"158",23778660,56,8,4,0.01,"Rain"
"159",23780100,56,6,2,0.12,"Rain"
"160",23781540,55,17,9,0.13,"Rain"
"161",23782980,49,9,2,0.07,"Rain"
"162",23784420,48,13,4,0.2,"Fog , Rain"
"163",23785860,52,15,4,0.27,"Rain"
"164",23787300,54,14,7,0.15,"Rain"
"165",23788740,62,10,5,0,""
"166",23790180,59,15,4,0.01,"Rain"
